Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6493296a8dea84a5a789c35e,61688317772399d5e4bdcd13,APPROVED,2023-06-21T16:46:59.529000Z,2023-06-21T16:51:51.928000Z,2023-06-22T21:18:57.285000,2023-06-21T16:51:52.472332Z,293,C92BA3A3,1922,42,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6493296b87199daeb1169098,5fde4292a4d8245990ada5bc,APPROVED,2023-06-21T16:46:41.357000Z,2023-06-21T16:54:53.564000Z,2023-06-22T21:18:57.435000,2023-06-21T16:54:54.166432Z,493,C92BA3A3,2353,71,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6493296bdcc719bf33f1cf15,63fcfd81a075a45d1a821308,APPROVED,2023-06-21T16:46:40.531000Z,2023-06-21T16:59:55.856000Z,2023-06-22T21:18:57.586000,2023-06-21T16:59:56.362360Z,796,C92BA3A3,797,66,Female,Black,United States,United States,United States,English,No,Other
649329732953e0daf2deffb6,5c1976c90d57c30001b4162c,APPROVED,2023-06-21T16:51:48.540000Z,2023-06-21T17:04:53.614000Z,2023-06-22T21:18:57.734000,2023-06-21T17:04:59.721045Z,786,C92BA3A3,4736,71,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64932973c619811742f6cb32,63f3e75e0787bb42195e1e4c,APPROVED,2023-06-21T16:46:47.232000Z,2023-06-21T16:53:38.104000Z,2023-06-22T21:18:57.884000,2023-06-21T16:53:38.662228Z,411,C92BA3A3,790,64,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64932974ed62b4a6d7900b65,5f6ac3f62c65e21a96d0a5e1,APPROVED,2023-06-21T16:46:51.318000Z,2023-06-21T16:54:02.075000Z,2023-06-22T21:18:58.038000,2023-06-21T16:54:02.606711Z,431,C92BA3A3,1408,45,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
649329772417e0924222f4a5,63d13b44f511eff0aef876f2,APPROVED,2023-06-21T16:46:51.744000Z,2023-06-21T16:51:14.435000Z,2023-06-22T21:16:05.566000,2023-06-21T16:51:15.165637Z,263,C92BA3A3,1315,41,Male,White,United States,United States,United States,English,No,Full-Time
6493297bd1fb1f44cecf7d89,63ed04d2ce3b27bda2fbbb9c,APPROVED,2023-06-21T16:46:56.198000Z,2023-06-21T16:53:25.737000Z,2023-06-22T21:16:05.708000,2023-06-21T16:53:26.393451Z,390,C92BA3A3,927,36,Male,White,United States,United States,United States,English,No,Full-Time
6493297e7ac7bdd4c5ed82c2,56210effed6e5a000ac7f3a5,APPROVED,2023-06-21T16:47:09.064000Z,2023-06-21T16:59:06.831000Z,2023-06-22T21:16:05.845000,2023-06-21T16:59:07.326862Z,718,C92BA3A3,3357,40,Male,White,United States,United States,United States,English,No,Full-Time
6493297eadbb933aa8d44372,6111c4865701e1ba367af3e3,APPROVED,2023-06-21T16:46:58.569000Z,2023-06-21T16:51:20.002000Z,2023-06-22T21:18:58.219000,2023-06-21T16:51:20.732007Z,262,C92BA3A3,3182,25,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6493297f713f114c2d73a831,5fe18e1c8929f0c2a41e43d8,APPROVED,2023-06-21T16:46:58.582000Z,2023-06-21T16:52:12.297000Z,2023-06-22T21:18:58.379000,2023-06-21T16:52:13.526014Z,314,C92BA3A3,2572,27,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
64932980bc1ce12515f5d66e,63fb4b7f05faed13656528f0,APPROVED,2023-06-21T16:47:02.172000Z,2023-06-21T16:53:00.860000Z,2023-06-22T21:16:05.984000,2023-06-21T16:53:04.180766Z,359,C92BA3A3,752,55,Male,White,United States,United States,United States,English,No,Due to start a new job within the next month
64932980e6a5c0687fc6d9cc,60d099f849987e86824eedcd,APPROVED,2023-06-21T16:47:59.398000Z,2023-06-21T16:55:20.822000Z,2023-06-22T21:18:58.594000,2023-06-21T16:55:21.715204Z,442,C92BA3A3,2283,32,Female,White,United States,United States,United States,English,No,Full-Time
649329870cd1611cc0011965,5c58e01e6f4ec5000164c35a,APPROVED,2023-06-21T16:47:07.682000Z,2023-06-21T16:54:53.615000Z,2023-06-22T21:18:58.778000,2023-06-21T16:54:57.574236Z,466,C92BA3A3,2321,30,Female,White,United States,United States,United States,English,No,Full-Time
6493298b90bdfac62e537f36,55ddb84550a1f7000b90d65a,APPROVED,2023-06-21T16:47:13.176000Z,2023-06-21T17:13:09.785000Z,2023-06-22T21:18:58.935000,2023-06-21T17:13:10.236774Z,1557,C92BA3A3,5161,49,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6493299152dafd3f29a47531,5d47abcc2dc88900166f27c9,APPROVED,2023-06-21T16:47:18.786000Z,2023-06-21T17:05:36.036000Z,2023-06-22T21:16:06.133000,2023-06-21T17:05:37.874782Z,1098,C92BA3A3,5244,57,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
649329923a7d5a2015aebe06,5e55d9d5bcdb1e5f55cca145,APPROVED,2023-06-21T16:47:20.300000Z,2023-06-21T16:58:41.062000Z,2023-06-22T21:16:06.271000,2023-06-21T16:58:41.592682Z,681,C92BA3A3,5168,38,Male,Other,United States,United States,United States,English,No,Full-Time
6493299867113a04f1830f40,62a099bb01ad779df1971ea4,APPROVED,2023-06-21T16:47:30.565000Z,2023-06-21T16:53:42.600000Z,2023-06-22T21:18:59.097000,2023-06-21T16:53:43.159678Z,373,C92BA3A3,1557,61,Female,White,United States,United States,United States,English,No,Full-Time
6493299e7cfefb8c7fda6ca9,5dda993086c886a06ce9108d,APPROVED,2023-06-21T16:47:33.136000Z,2023-06-21T16:53:58.446000Z,2023-06-22T21:18:59.269000,2023-06-21T16:53:58.984681Z,386,C92BA3A3,4878,76,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
649329a028b652cc968fceda,61576fbbfb9cde36db31382b,APPROVED,2023-06-21T16:47:32.266000Z,2023-06-21T16:56:00.458000Z,2023-06-22T21:16:06.409000,2023-06-21T16:56:01.070051Z,509,C92BA3A3,439,42,Male,Mixed,United States,United States,United States,English,No,Full-Time
649329a1f1ac9e7550bed0c4,6435d9620649d3801b71cc8b,APPROVED,2023-06-21T16:47:47.541000Z,2023-06-21T16:59:57.901000Z,2023-06-22T21:16:06.543000,2023-06-21T17:00:01.039539Z,731,C92BA3A3,446,51,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
649329a42d1a0760c7fa91af,5ea3442e0db9862b6f42935d,APPROVED,2023-06-21T16:47:43.075000Z,2023-06-21T17:01:05.732000Z,2023-06-22T21:18:59.416000,2023-06-21T17:01:06.237906Z,803,C92BA3A3,2322,66,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
649329a4fb67501efef26aa1,6298df7da7b45df1b730d3aa,APPROVED,2023-06-21T16:49:30.551000Z,2023-06-21T16:57:49.326000Z,2023-06-22T21:16:06.688000,2023-06-21T16:57:49.778462Z,499,C92BA3A3,2039,21,Male,White,United States,United States,United States,English,Yes,Part-Time
649329a57f612c2b995e0c0d,5c4fa169ee5ae100010a2057,APPROVED,2023-06-21T16:47:33.055000Z,2023-06-21T16:53:51.952000Z,2023-06-22T21:16:06.825000,2023-06-21T16:53:52.709882Z,379,C92BA3A3,5262,42,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
649329a5a0e7112a5b32fac5,6403237597dda31e3e0b52db,APPROVED,2023-06-21T16:51:35.389000Z,2023-06-21T17:02:43.506000Z,2023-06-22T21:16:06.988000,2023-06-21T17:02:44.043295Z,669,C92BA3A3,58,73,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
